timestamp,precip_mm,temp_c,wind_kph,is_weekday,hour,ttc_eta_min,ttc_transfers,ttc_walk_min,uber_eta_min,uber_price_cad,choice,annoyance
2026-01-10T08:12:00,0.0,-1.0,12.0,1,8,45.0,2,8.0,22.0,18.5,1,2
2026-01-10T17:45:00,0.0,0.0,14.0,1,17,48.0,2,9.0,25.0,21.0,0,3
2026-01-11T09:05:00,3.5,2.0,20.0,1,9,52.0,2,10.0,24.0,22.5,1,2
2026-01-11T18:10:00,1.2,1.0,18.0,1,18,50.0,2,9.0,27.0,24.0,1,3
2026-01-12T07:55:00,0.0,-4.0,10.0,1,7,44.0,2,8.0,21.0,17.75,0,2
2026-01-12T16:30:00,0.0,-2.0,11.0,1,16,47.0,2,9.0,23.0,19.5,0,2
2026-01-13T08:40:00,6.0,3.0,25.0,1,8,55.0,2,11.0,26.0,26.0,1,4
2026-01-13T19:05:00,2.1,2.0,22.0,1,19,53.0,2,10.0,28.0,25.5,1,3
2026-01-14T08:10:00,0.0,-3.0,9.0,1,8,46.0,2,8.0,22.0,18.0,0,2
2026-01-14T17:20:00,0.0,-1.0,13.0,1,17,49.0,2,9.0,24.0,20.25,0,3
2026-01-15T09:00:00,8.5,4.0,28.0,1,9,58.0,2,12.0,25.0,27.5,1,4
2026-01-15T18:30:00,4.0,3.0,24.0,1,18,54.0,2,10.0,29.0,26.75,1,3
2026-01-16T08:25:00,0.0,-5.0,8.0,1,8,45.0,2,8.0,21.0,17.25,0,2
2026-01-16T16:50:00,0.0,-2.0,12.0,1,16,48.0,2,9.0,23.0,19.75,0,2
2026-01-17T10:15:00,1.0,1.0,16.0,0,10,50.0,2,9.0,24.0,20.0,0,2
2026-01-17T21:40:00,0.0,0.0,15.0,0,21,52.0,2,10.0,26.0,23.0,1,3
2026-01-18T11:30:00,5.5,4.0,23.0,0,11,56.0,2,11.0,25.0,26.25,1,4
2026-01-18T20:10:00,2.5,2.0,19.0,0,20,53.0,2,10.0,27.0,24.75,1,3
2026-01-19T08:05:00,0.0,-3.0,10.0,1,8,46.0,2,8.0,22.0,18.25,0,2
2026-01-19T17:35:00,7.0,5.0,30.0,1,17,57.0,2,12.0,26.0,28.5,1,4
2026-01-31T14:12:58,0.0,5.0,10.0,0,14,30.0,1,5.0,15.0,25.0,0,3
